名称,经度,纬度,高度
#45,101.7356119,36.73150585,2343
#44,101.7356282,36.73197071,2343
#43,101.7356393,36.73241026,2348
#42,101.7356604,36.73289307,2345
#41,101.7356758,36.73333558,2345
#40,101.7357162,36.73390974,2345
#39,101.7357496,36.7344411,2345
#38,101.7357935,36.73511533,2347
#37,101.7358318,36.7356207,2345
#36,101.7358526,36.73609381,2347
