名称,经度,纬度,高度
#2 ,113.0138575,28.04916792,101
#3 ,113.0137958,28.04966175,102
#4 ,113.0137468,28.05012608,103.1
#5 ,113.013696,28.05059087,104.1
#6 ,113.0137994,28.0505794,102.5
#7 ,113.0141756,28.05050906,102.5
#8 ,113.0149166,28.0503516,99
#9 ,113.0154848,28.05023506,92.3
#10 ,113.0161295,28.05009073,99
#11 ,113.0166361,28.04979394,99
#12 ,113.0171227,28.04949134,100.1
